suite,suite_label,tier,target_label,model_tier,model_tier_label,model,model_label,batch,run_id,scenario_id,visibility,difficulty,expected_step_count,passed_until_step,first_failed_step,step_progress_until_failure,first_failed_action,first_failed_component,first_failed_actor,first_failure_group,first_failure_raw,first_failure_before_screenshot,first_failure_after_screenshot,evidence_id,selection_reason,combined_figure_reason_text,before_pdf,after_pdf,before_after_pdf
clinic_shift_command,Clinic Shift Command,A,Clinic Shift Command A,F,Frontier,gpt54,GPT-5.4,20260513T003251Z_clinic_tiera_mtf_10x,20260513-095737-7a945b73,private_03_filter_imaging_queue,private,,6,5,6.0,0.8333333333333334,snapshot,,,rendered-projection mismatch,assertion_table_cell_equals,/Users/chansungpark/Developers/backup/b/detoxbench/targets/web/clinic_shift_command/tier_a/cohorts/F/20260513T003251Z_clinic_tiera_mtf_10x/runs/gpt54/r02/20260513-095737-7a945b73/screenshots/private_03_filter_imaging_queue/006-before.png,/Users/chansungpark/Developers/backup/b/detoxbench/targets/web/clinic_shift_command/tier_a/cohorts/F/20260513T003251Z_clinic_tiera_mtf_10x/runs/gpt54/r02/20260513-095737-7a945b73/screenshots/private_03_filter_imaging_queue/006-after.png,clinic_shift_command_a_rendered_projection_mismatch,"Selected as the highest-progress current-run failure for this target and failure category, preferring stronger model groups when available.","Why this pair matters: after the evaluator performs `snapshot`, the rendered interface no longer agrees with the contract-visible state. The before panel anchors the last observable state; the after panel is the first state used for the failed contract check.",evidence/failure_pairs/current_raw/clinic_shift_command_a_rendered_projection_mismatch_before.pdf,evidence/failure_pairs/current_raw/clinic_shift_command_a_rendered_projection_mismatch_after.pdf,evidence/failure_pairs/current_raw/clinic_shift_command_a_rendered_projection_mismatch_before_after.pdf
clinic_shift_command,Clinic Shift Command,A,Clinic Shift Command A,F,Frontier,gemini31_pro_preview,Gemini 3.1 Pro Preview,20260513T003251Z_clinic_tiera_mtf_10x,20260513-095908-b82ae303,private_04_select_grace_assign_lab,private,,6,3,4.0,0.5,click,select_grace_button,,route / persistence drift,assertion_browser_page_equals,/Users/chansungpark/Developers/backup/b/detoxbench/targets/web/clinic_shift_command/tier_a/cohorts/F/20260513T003251Z_clinic_tiera_mtf_10x/runs/gemini31_pro_preview/r05/20260513-095908-b82ae303/screenshots/private_04_select_grace_assign_lab/004-before.png,/Users/chansungpark/Developers/backup/b/detoxbench/targets/web/clinic_shift_command/tier_a/cohorts/F/20260513T003251Z_clinic_tiera_mtf_10x/runs/gemini31_pro_preview/r05/20260513-095908-b82ae303/screenshots/private_04_select_grace_assign_lab/004-after.png,clinic_shift_command_a_route_persistence_drift,"Selected as the highest-progress current-run failure for this target and failure category, preferring stronger model groups when available.","Why this pair matters: after the evaluator performs `click`, the browser reaches a navigation or reload boundary where required state is lost. The before panel anchors the last observable state; the after panel is the first state used for the failed contract check.",evidence/failure_pairs/current_raw/clinic_shift_command_a_route_persistence_drift_before.pdf,evidence/failure_pairs/current_raw/clinic_shift_command_a_route_persistence_drift_after.pdf,evidence/failure_pairs/current_raw/clinic_shift_command_a_route_persistence_drift_before_after.pdf
clinic_shift_command,Clinic Shift Command,A,Clinic Shift Command A,F,Frontier,gemini31_pro_preview,Gemini 3.1 Pro Preview,20260513T003251Z_clinic_tiera_mtf_10x,20260513-095857-abb543a4,public_03_insurance_hmo_approved,public,,8,7,8.0,0.875,click,verify_insurance_button,,wrong state transition,assertion_state_one_of,/Users/chansungpark/Developers/backup/b/detoxbench/targets/web/clinic_shift_command/tier_a/cohorts/F/20260513T003251Z_clinic_tiera_mtf_10x/runs/gemini31_pro_preview/r02/20260513-095857-abb543a4/screenshots/public_03_insurance_hmo_approved/008-before.png,/Users/chansungpark/Developers/backup/b/detoxbench/targets/web/clinic_shift_command/tier_a/cohorts/F/20260513T003251Z_clinic_tiera_mtf_10x/runs/gemini31_pro_preview/r02/20260513-095857-abb543a4/screenshots/public_03_insurance_hmo_approved/008-after.png,clinic_shift_command_a_wrong_state_transition,"Selected as the highest-progress current-run failure for this target and failure category, preferring stronger model groups when available.","Why this pair matters: after the evaluator performs `click`, the action is executable, but the resulting public state violates an expected relation. The before panel anchors the last observable state; the after panel is the first state used for the failed contract check.",evidence/failure_pairs/current_raw/clinic_shift_command_a_wrong_state_transition_before.pdf,evidence/failure_pairs/current_raw/clinic_shift_command_a_wrong_state_transition_after.pdf,evidence/failure_pairs/current_raw/clinic_shift_command_a_wrong_state_transition_before_after.pdf
clinic_shift_command,Clinic Shift Command,B,Clinic Shift Command B,F,Frontier,gemini31_pro_preview,Gemini 3.1 Pro Preview,20260513T022902Z_clinic_tierb_plus_mtf_10x,20260513-120917-77b49098,private_14_referral_upload_replaces_rows,private,B,12,11,12.0,0.9166666666666666,snapshot,,,rendered-projection mismatch,assertion_table_order_equals,/Users/chansungpark/Developers/backup/b/detoxbench/targets/web/clinic_shift_command/tier_b/cohorts/F/20260513T022902Z_clinic_tierb_plus_mtf_10x/runs/gemini31_pro_preview/r03/20260513-120917-77b49098/screenshots/private_14_referral_upload_replaces_rows/012-before.png,/Users/chansungpark/Developers/backup/b/detoxbench/targets/web/clinic_shift_command/tier_b/cohorts/F/20260513T022902Z_clinic_tierb_plus_mtf_10x/runs/gemini31_pro_preview/r03/20260513-120917-77b49098/screenshots/private_14_referral_upload_replaces_rows/012-after.png,clinic_shift_command_b_rendered_projection_mismatch,"Selected as the highest-progress current-run failure for this target and failure category, preferring stronger model groups when available.","Why this pair matters: after the evaluator performs `snapshot`, the rendered interface no longer agrees with the contract-visible state. The before panel anchors the last observable state; the after panel is the first state used for the failed contract check.",evidence/failure_pairs/current_raw/clinic_shift_command_b_rendered_projection_mismatch_before.pdf,evidence/failure_pairs/current_raw/clinic_shift_command_b_rendered_projection_mismatch_after.pdf,evidence/failure_pairs/current_raw/clinic_shift_command_b_rendered_projection_mismatch_before_after.pdf
clinic_shift_command,Clinic Shift Command,B,Clinic Shift Command B,F,Frontier,claude_opus46,Claude Opus 4.6,20260513T022902Z_clinic_tierb_plus_mtf_10x,20260513-120843-9006dd7f,private_24_finalize_handoff_packet_after_release,private,B,42,41,42.0,0.9761904761904762,reload,,,route / persistence drift,assertion_browser_page_equals,/Users/chansungpark/Developers/backup/b/detoxbench/targets/web/clinic_shift_command/tier_b/cohorts/F/20260513T022902Z_clinic_tierb_plus_mtf_10x/runs/claude_opus46/r09/20260513-120843-9006dd7f/screenshots/private_24_finalize_handoff_packet_after_release/042-before.png,/Users/chansungpark/Developers/backup/b/detoxbench/targets/web/clinic_shift_command/tier_b/cohorts/F/20260513T022902Z_clinic_tierb_plus_mtf_10x/runs/claude_opus46/r09/20260513-120843-9006dd7f/screenshots/private_24_finalize_handoff_packet_after_release/042-after.png,clinic_shift_command_b_route_persistence_drift,"Selected as the highest-progress current-run failure for this target and failure category, preferring stronger model groups when available.","Why this pair matters: after the evaluator performs `reload`, the browser reaches a navigation or reload boundary where required state is lost. The before panel anchors the last observable state; the after panel is the first state used for the failed contract check.",evidence/failure_pairs/current_raw/clinic_shift_command_b_route_persistence_drift_before.pdf,evidence/failure_pairs/current_raw/clinic_shift_command_b_route_persistence_drift_after.pdf,evidence/failure_pairs/current_raw/clinic_shift_command_b_route_persistence_drift_before_after.pdf
clinic_shift_command,Clinic Shift Command,B,Clinic Shift Command B,F,Frontier,gemini31_pro_preview,Gemini 3.1 Pro Preview,20260513T022902Z_clinic_tierb_plus_mtf_10x,20260513-120942-15792d16,private_23_handoff_blocked_until_escalation_closed,private,B,36,35,36.0,0.9722222222222222,click,finalize_handoff_button,,wrong state transition,assertion_state_delta,/Users/chansungpark/Developers/backup/b/detoxbench/targets/web/clinic_shift_command/tier_b/cohorts/F/20260513T022902Z_clinic_tierb_plus_mtf_10x/runs/gemini31_pro_preview/r07/20260513-120942-15792d16/screenshots/private_23_handoff_blocked_until_escalation_closed/036-before.png,/Users/chansungpark/Developers/backup/b/detoxbench/targets/web/clinic_shift_command/tier_b/cohorts/F/20260513T022902Z_clinic_tierb_plus_mtf_10x/runs/gemini31_pro_preview/r07/20260513-120942-15792d16/screenshots/private_23_handoff_blocked_until_escalation_closed/036-after.png,clinic_shift_command_b_wrong_state_transition,"Selected as the highest-progress current-run failure for this target and failure category, preferring stronger model groups when available.","Why this pair matters: after the evaluator performs `click`, the action is executable, but the resulting public state violates an expected relation. The before panel anchors the last observable state; the after panel is the first state used for the failed contract check.",evidence/failure_pairs/current_raw/clinic_shift_command_b_wrong_state_transition_before.pdf,evidence/failure_pairs/current_raw/clinic_shift_command_b_wrong_state_transition_after.pdf,evidence/failure_pairs/current_raw/clinic_shift_command_b_wrong_state_transition_before_after.pdf
clinic_shift_command,Clinic Shift Command,C,Clinic Shift Command C,F,Frontier,claude_opus46,Claude Opus 4.6,20260513T072758Z_clinic_tierc_readiness_mtf_10x,20260513-172955-e237f9d1,private_29_full_incident_command_clearance,private,C,82,81,82.0,0.9878048780487804,snapshot,,,rendered-projection mismatch,assertion_table_cell_equals,/Users/chansungpark/Developers/backup/b/detoxbench/targets/web/clinic_shift_command/tier_c/cohorts/F/20260513T072758Z_clinic_tierc_readiness_mtf_10x/runs/claude_opus46/r01/20260513-172955-e237f9d1/screenshots/private_29_full_incident_command_clearance/082-before.png,/Users/chansungpark/Developers/backup/b/detoxbench/targets/web/clinic_shift_command/tier_c/cohorts/F/20260513T072758Z_clinic_tierc_readiness_mtf_10x/runs/claude_opus46/r01/20260513-172955-e237f9d1/screenshots/private_29_full_incident_command_clearance/082-after.png,clinic_shift_command_c_rendered_projection_mismatch,"Selected as the highest-progress current-run failure for this target and failure category, preferring stronger model groups when available.","Why this pair matters: after the evaluator performs `snapshot`, the rendered interface no longer agrees with the contract-visible state. The before panel anchors the last observable state; the after panel is the first state used for the failed contract check.",evidence/failure_pairs/current_raw/clinic_shift_command_c_rendered_projection_mismatch_before.pdf,evidence/failure_pairs/current_raw/clinic_shift_command_c_rendered_projection_mismatch_after.pdf,evidence/failure_pairs/current_raw/clinic_shift_command_c_rendered_projection_mismatch_before_after.pdf
clinic_shift_command,Clinic Shift Command,C,Clinic Shift Command C,F,Frontier,gemini31_pro_preview,Gemini 3.1 Pro Preview,20260513T072758Z_clinic_tierc_readiness_mtf_10x,20260513-173519-db4fd356,private_04_select_paul_auth_snapshot,private,C,4,3,4.0,0.75,click,select_paul_button,,route / persistence drift,assertion_browser_page_equals,/Users/chansungpark/Developers/backup/b/detoxbench/targets/web/clinic_shift_command/tier_c/cohorts/F/20260513T072758Z_clinic_tierc_readiness_mtf_10x/runs/gemini31_pro_preview/r10/20260513-173519-db4fd356/screenshots/private_04_select_paul_auth_snapshot/004-before.png,/Users/chansungpark/Developers/backup/b/detoxbench/targets/web/clinic_shift_command/tier_c/cohorts/F/20260513T072758Z_clinic_tierc_readiness_mtf_10x/runs/gemini31_pro_preview/r10/20260513-173519-db4fd356/screenshots/private_04_select_paul_auth_snapshot/004-after.png,clinic_shift_command_c_route_persistence_drift,"Selected as the highest-progress current-run failure for this target and failure category, preferring stronger model groups when available.","Why this pair matters: after the evaluator performs `click`, the browser reaches a navigation or reload boundary where required state is lost. The before panel anchors the last observable state; the after panel is the first state used for the failed contract check.",evidence/failure_pairs/current_raw/clinic_shift_command_c_route_persistence_drift_before.pdf,evidence/failure_pairs/current_raw/clinic_shift_command_c_route_persistence_drift_after.pdf,evidence/failure_pairs/current_raw/clinic_shift_command_c_route_persistence_drift_before_after.pdf
clinic_shift_command,Clinic Shift Command,C,Clinic Shift Command C,F,Frontier,gemini31_pro_preview,Gemini 3.1 Pro Preview,20260513T072758Z_clinic_tierc_readiness_mtf_10x,20260513-173505-62ab6429,private_36_final_clearance_blocked_without_signoffs,private,C,66,65,66.0,0.9848484848484848,click,finalize_clearance_button,,wrong state transition,assertion_state_equals,/Users/chansungpark/Developers/backup/b/detoxbench/targets/web/clinic_shift_command/tier_c/cohorts/F/20260513T072758Z_clinic_tierc_readiness_mtf_10x/runs/gemini31_pro_preview/r09/20260513-173505-62ab6429/screenshots/private_36_final_clearance_blocked_without_signoffs/066-before.png,/Users/chansungpark/Developers/backup/b/detoxbench/targets/web/clinic_shift_command/tier_c/cohorts/F/20260513T072758Z_clinic_tierc_readiness_mtf_10x/runs/gemini31_pro_preview/r09/20260513-173505-62ab6429/screenshots/private_36_final_clearance_blocked_without_signoffs/066-after.png,clinic_shift_command_c_wrong_state_transition,"Selected as the highest-progress current-run failure for this target and failure category, preferring stronger model groups when available.","Why this pair matters: after the evaluator performs `click`, the action is executable, but the resulting public state violates an expected relation. The before panel anchors the last observable state; the after panel is the first state used for the failed contract check.",evidence/failure_pairs/current_raw/clinic_shift_command_c_wrong_state_transition_before.pdf,evidence/failure_pairs/current_raw/clinic_shift_command_c_wrong_state_transition_after.pdf,evidence/failure_pairs/current_raw/clinic_shift_command_c_wrong_state_transition_before_after.pdf
freshcart_market,FreshCart Market,A,FreshCart Market A,F,Frontier,gemini31_pro_preview,Gemini 3.1 Pro Preview,20260511T180907Z,20260512-040431-2e7ace86,private_01_show_all_catalog_order,private,,8,7,8.0,0.875,snapshot,,,rendered-projection mismatch,assertion_table_order_equals,/Users/chansungpark/Developers/backup/b/detoxbench/targets/web/freshcart_market/tier_a/cohorts/F/20260511T180907Z/runs/gemini31_pro_preview/r01/20260512-040431-2e7ace86/screenshots/private_01_show_all_catalog_order/008-before.png,/Users/chansungpark/Developers/backup/b/detoxbench/targets/web/freshcart_market/tier_a/cohorts/F/20260511T180907Z/runs/gemini31_pro_preview/r01/20260512-040431-2e7ace86/screenshots/private_01_show_all_catalog_order/008-after.png,freshcart_market_a_rendered_projection_mismatch,"Selected as the highest-progress current-run failure for this target and failure category, preferring stronger model groups when available.","Why this pair matters: after the evaluator performs `snapshot`, the rendered interface no longer agrees with the contract-visible state. The before panel anchors the last observable state; the after panel is the first state used for the failed contract check.",evidence/failure_pairs/current_raw/freshcart_market_a_rendered_projection_mismatch_before.pdf,evidence/failure_pairs/current_raw/freshcart_market_a_rendered_projection_mismatch_after.pdf,evidence/failure_pairs/current_raw/freshcart_market_a_rendered_projection_mismatch_before_after.pdf
freshcart_market,FreshCart Market,A,FreshCart Market A,T,Mid-range,gemini_flash_latest,Gemini 3.1 Flash,20260511T180907Z,20260512-035557-a31399b3,public_02_add_apple_updates_cart,public,,4,2,3.0,0.5,snapshot,,,route / persistence drift,assertion_browser_page_equals,/Users/chansungpark/Developers/backup/b/detoxbench/targets/web/freshcart_market/tier_a/cohorts/T/20260511T180907Z/runs/gemini_flash_latest/r06/20260512-035557-a31399b3/screenshots/public_02_add_apple_updates_cart/003-before.png,/Users/chansungpark/Developers/backup/b/detoxbench/targets/web/freshcart_market/tier_a/cohorts/T/20260511T180907Z/runs/gemini_flash_latest/r06/20260512-035557-a31399b3/screenshots/public_02_add_apple_updates_cart/003-after.png,freshcart_market_a_route_persistence_drift,"Selected as the highest-progress current-run failure for this target and failure category, preferring stronger model groups when available.","Why this pair matters: after the evaluator performs `snapshot`, the browser reaches a navigation or reload boundary where required state is lost. The before panel anchors the last observable state; the after panel is the first state used for the failed contract check.",evidence/failure_pairs/current_raw/freshcart_market_a_route_persistence_drift_before.pdf,evidence/failure_pairs/current_raw/freshcart_market_a_route_persistence_drift_after.pdf,evidence/failure_pairs/current_raw/freshcart_market_a_route_persistence_drift_before_after.pdf
freshcart_market,FreshCart Market,A,FreshCart Market A,F,Frontier,gemini31_pro_preview,Gemini 3.1 Pro Preview,20260511T180907Z,20260512-040431-2e7ace86,private_08_save20_coupon_credit,private,,12,11,12.0,0.9166666666666666,click,apply_coupon_button,,wrong state transition,assertion_state_one_of,/Users/chansungpark/Developers/backup/b/detoxbench/targets/web/freshcart_market/tier_a/cohorts/F/20260511T180907Z/runs/gemini31_pro_preview/r01/20260512-040431-2e7ace86/screenshots/private_08_save20_coupon_credit/012-before.png,/Users/chansungpark/Developers/backup/b/detoxbench/targets/web/freshcart_market/tier_a/cohorts/F/20260511T180907Z/runs/gemini31_pro_preview/r01/20260512-040431-2e7ace86/screenshots/private_08_save20_coupon_credit/012-after.png,freshcart_market_a_wrong_state_transition,"Selected as the highest-progress current-run failure for this target and failure category, preferring stronger model groups when available.","Why this pair matters: after the evaluator performs `click`, the action is executable, but the resulting public state violates an expected relation. The before panel anchors the last observable state; the after panel is the first state used for the failed contract check.",evidence/failure_pairs/current_raw/freshcart_market_a_wrong_state_transition_before.pdf,evidence/failure_pairs/current_raw/freshcart_market_a_wrong_state_transition_after.pdf,evidence/failure_pairs/current_raw/freshcart_market_a_wrong_state_transition_before_after.pdf
freshcart_market,FreshCart Market,B,FreshCart Market B,F,Frontier,claude_opus46,Claude Opus 4.6,20260512T025450Z,20260512-123850-fa2b20a3,private_02_filter_dairypure_two_items,private,,6,5,6.0,0.8333333333333334,snapshot,,,rendered-projection mismatch,assertion_table_cell_equals,/Users/chansungpark/Developers/backup/b/detoxbench/targets/web/freshcart_market/tier_b/cohorts/F/20260512T025450Z/runs/claude_opus46/r01/20260512-123850-fa2b20a3/screenshots/private_02_filter_dairypure_two_items/006-before.png,/Users/chansungpark/Developers/backup/b/detoxbench/targets/web/freshcart_market/tier_b/cohorts/F/20260512T025450Z/runs/claude_opus46/r01/20260512-123850-fa2b20a3/screenshots/private_02_filter_dairypure_two_items/006-after.png,freshcart_market_b_rendered_projection_mismatch,"Selected as the highest-progress current-run failure for this target and failure category, preferring stronger model groups when available.","Why this pair matters: after the evaluator performs `snapshot`, the rendered interface no longer agrees with the contract-visible state. The before panel anchors the last observable state; the after panel is the first state used for the failed contract check.",evidence/failure_pairs/current_raw/freshcart_market_b_rendered_projection_mismatch_before.pdf,evidence/failure_pairs/current_raw/freshcart_market_b_rendered_projection_mismatch_after.pdf,evidence/failure_pairs/current_raw/freshcart_market_b_rendered_projection_mismatch_before_after.pdf
